Claim,Claim ID,Source,Node1,Node2,Label
1,12,wiki_real,political  that,coercive  hierarchy,is
1,12,wiki_real,it,which,calls
1,12,wiki_real,political  it,historical  capitalism,described
1,12,wiki_real,Humans,formal  states,lived
1,12,wiki_real,hierarchical  scepticism,authority,rose
1,12,wiki_real,modern  anarchism,Enlightenment,emerged
1,12,wiki_real,20th anarchist movement,significant  emancipation,flourished
1,12,wiki_real,Various anarchist schools,period,formed
1,12,wiki_real,Russian Spanish Civil end,classical  anarchism,taken
1,12,wiki_real,21st anarchist movement,21st  century,been
1,12,wiki_real,significant  which,significant  two,is
1,12,wiki_real,anarchist  society,what,aim
1,12,wiki_real,Anarchist  praxis,human  society,thought
1,12,wiki_real,internally  Etymology,etymological Ancient Greek prefix,include
1,12,wiki_real,,,an-
1,12,wiki_real,,,without
1,12,wiki_real,ideological  that,anarchy,denotes
1,12,wiki_real,English  usages,disorder,emphasised
1,12,wiki_real,such French accused,later  anarchists,labelled
1,12,wiki_real,Many  revolutionaries,next anarchist themselves,contribute
1,12,wiki_real,political  philosopher,mid-19th Joseph century,was
1,12,wiki_real,libertarianism,still United States,used
1,12,wiki_real,free market anarchism,free market philosophy,refer
1,12,wiki_real,cultural vanguard who,civil  liberties,diluted
1,12,wiki_real,Additionally  anarchists,negative  socialism,use
1,12,wiki_real,Anarchism,socialist  movement,used
1,12,wiki_real,socialist  which,socialist  forms,contrasted
1,12,wiki_real,Scholars,criticise  two,highlight
1,12,wiki_real,most  scholars,anarchist principles,describe
1,12,wiki_real,various  currents,anarchism,is
1,12,wiki_real,humans,how  anarchy,include
1,12,wiki_real,established  authority,towns,exist
1,12,wiki_real,anarchistic  ideas,reaction,was
1,12,wiki_real,notable  precursors,ancient  China,were
1,12,wiki_real,philosophical  anarchism,Taoist philosophers Zhuang Zhou,delineated
1,12,wiki_real,Taoism,significant  anarchism,said
1,12,wiki_real,Anarchic  attitudes,also  Greece,articulated
1,12,wiki_real,Aeschylus,state,used
1,12,wiki_real,Socrates,individual  conscience,questioned
1,12,wiki_real,Cynics,associated  nature,dismissed
1,12,wiki_real,Stoics,unofficial  state,were
1,12,wiki_real,,religious  movements,was
1,12,wiki_real,These,religious  anarchism,gave
1,12,wiki_real,Sasanian Mazdak,soon Emperor Kavad I.,called
1,12,wiki_real,religious  sects,state,preached
1,12,wiki_real,various  sects,state  tendencies,developed
1,12,wiki_real,Renewed  interest,particularly  France,restored
1,12,wiki_real,ideological  what,classical  anarchism,challenges
1,12,wiki_real,partisan French groups,state turning sentiments,saw
1,12,wiki_real,Joseph theory,fertile  France,paved
1,12,wiki_real,well  wave,unprecedented  1914,become
1,12,wiki_real,era,golden Civil anarchism,lasted
1,12,wiki_real,later First that,revolutionary  currents,founded
1,12,wiki_real,political Karl Marx,leading General Council,became
1,12,wiki_real,faction,political state abstentionism,opposed
1,12,wiki_real,bitter  Bakuninists,1872 Hague Congress,expelled
1,12,wiki_real,Anarchists,ultimately Second 1896,treated
1,12,wiki_real,they,new  workers,predicted
1,12,wiki_real,First anarchists,St. Imier International,formed
1,12,wiki_real,,Russian anarcho collectivism,overlapped
1,12,wiki_real,who,free Paris needs,advocated
1,12,wiki_real,anarchism,all  world,spread
1,12,wiki_real,It,international syndicalism movement,was
1,12,wiki_real,small  groups,science anarcho communism,imported
1,12,wiki_real,Tokyo,Japanese  capital,was
1,12,wiki_real,where anarcho it,anarcho syndicalism,was
1,12,wiki_real,minority,political  violence,adopted
1,12,wiki_real,strategy,deed,known
1,12,wiki_real,dismemberment,political Paris expression,favoured
1,12,wiki_real,attempts,American Immigration 1903,came
1,12,wiki_real,anarchists,period,was
1,12,wiki_real,harsh Bolshevik government,harsh  suppression,met
1,12,wiki_real,Several  anarchists,notably Free Territory,fled
1,12,wiki_real,antithetical  currents,Russia,emerged
