Claim,Source,Node,Edge,Label
Fox 2000 Pictures released the film Soul Food.,response,film,Vanessa Williams,stars
Tracey Edmonds produced Soul Food.,response,film,Vanessa Williams,stars
Tracey Edmonds produced Soul Food.,response,that,Soul Food,lists
Tracey Edmonds produced Soul Food.,response,that,Tracey Edmonds,lists
Soul Food was created in 1997.,response,that,1997,predates
Soul Food was created in 1997.,response,who,the United States,adapted
There is a capital called Mogadishu.,wiki,which,al-Shabaab,fought
There is a capital called Mogadishu.,wiki,which,the Transitional Federal Government -LRB-,fought
There is a capital called Mogadishu.,wiki,which,al-Shabaab,fought
There is a capital called Mogadishu.,wiki,which,the Transitional Federal Government -LRB-,fought
There is a capital called Mogadishu.,response,which,Wikipedia,highlights
There is a capital called Mogadishu.,response,capital,Mogadishu,is
Mogadishu is located in a country.,wiki,which,al-Shabaab,fought
Mogadishu is located in a country.,wiki,which,the Transitional Federal Government -LRB-,fought
Mogadishu is located in a country.,wiki,which,al-Shabaab,fought
Mogadishu is located in a country.,wiki,which,the Transitional Federal Government -LRB-,fought
Mogadishu is located in a country.,response,language,Somali,is
Mogadishu is located in a country.,response,that,Somalis,includes
Mogadishu is located in a country.,response,which,Somalia,is
Mogadishu is located in a country.,response,which,Somalia,is
Mogadishu is located in a country.,response,which,the United Nations,recognizes
Mogadishu is located in a country.,response,which,Somalia,recognizes
Mogadishu is a city.,wiki,which,al-Shabaab,fought
Mogadishu is a city.,wiki,which,the Transitional Federal Government -LRB-,fought
Mogadishu is a city.,wiki,which,al-Shabaab,fought
Mogadishu is a city.,wiki,which,the Transitional Federal Government -LRB-,fought
Mogadishu is a capital city.,wiki,which,al-Shabaab,fought
Mogadishu is a capital city.,wiki,which,the Transitional Federal Government -LRB-,fought
Mogadishu is a capital city.,wiki,which,al-Shabaab,fought
Mogadishu is a capital city.,wiki,which,the Transitional Federal Government -LRB-,fought
Mogadishu is a capital city.,response,which,Wikipedia,highlights
Mogadishu's location is Somalia.,wiki,which,al-Shabaab,fought
Mogadishu's location is Somalia.,wiki,which,the Transitional Federal Government -LRB-,fought
Mogadishu's location is Somalia.,wiki,which,al-Shabaab,fought
Mogadishu's location is Somalia.,wiki,which,the Transitional Federal Government -LRB-,fought
Mogadishu's location is Somalia.,response,port,one,being
Mogadishu is a place.,wiki,which,al-Shabaab,fought
Mogadishu is a place.,wiki,which,the Transitional Federal Government -LRB-,fought
Mogadishu is a place.,wiki,which,al-Shabaab,fought
Mogadishu is a place.,wiki,which,the Transitional Federal Government -LRB-,fought
Mogadishu is a place.,response,which,Wikipedia,provides
Mogadishu is a place.,response,which,The Cultural Significance,discusses
Mogadishu is a place.,response,which,M. A. Abdi,discusses
Mogadishu is a place.,response,which,Mogadishu,highlights
Mogadishu is a place.,response,which,F. M. Hassan,highlights
The Cretaceous ended.,wiki,that,79 million years,spans
The Cretaceous ended.,wiki,that,79 million years,spans
The Cretaceous ended.,response,period,the last period of the Mesozoic era,was
The Cretaceous ended.,response,that,approximately 75%,wiped
The Cretaceous ended.,response,period,the last period of the Mesozoic era,was
In the Cretaceous pterosaurs and large marine reptiles died out.,wiki,that,79 million years,spans
In the Cretaceous pterosaurs and large marine reptiles died out.,wiki,that,79 million years,spans
The Cretaceous finished with a large mass extinction.,wiki,that,79 million years,spans
The Cretaceous finished with a large mass extinction.,wiki,that,79 million years,spans
The Cretaceous finished with a large mass extinction.,response,>,Generate,Generate
Pterosaurs and large marine reptiles died out in the Cretaceous,wiki,that,79 million years,spans
Pterosaurs and large marine reptiles died out in the Cretaceous,wiki,that,79 million years,spans
Pterosaurs and large marine reptiles died out in the Cretaceous,response,>,Generate,Generate
Pterosaurs and large marine reptiles died out in the Cretaceous,response,period,the last period of the Mesozoic era,was
The end of the Cretaceous is a mass extinction.,wiki,that,79 million years,spans
The end of the Cretaceous is a mass extinction.,wiki,that,79 million years,spans
The end of the Cretaceous is a mass extinction.,response,>,Generate,Generate
