Claim ID,Claim,Source,Node1,Node2,Label
1,Fox 2000 Pictures released the film Soul Food.,wiki,Soul Food,Fox 2000 Fox Pictures,is
1,Fox 2000 Pictures released the film Soul Food.,wiki,Vanessa L. Williams,ensemble  cast,stars
1,Fox 2000 Pictures released the film Soul Food.,wiki,serious  problems,center  stage,centers
1,Fox 2000 Pictures released the film Soul Food.,wiki,Tillman,typically Hollywood films,based
1,Fox 2000 Pictures released the film Soul Food.,wiki,Showtime,one hour television film,premiered
1,Fox 2000 Pictures released the film Soul Food.,wiki,20th Century Fox,More Soul Tillman,announced
2,Tracey Edmonds produced Soul Food.,wiki,Soul Food,Fox 2000 Fox Pictures,is
2,Tracey Edmonds produced Soul Food.,wiki,Vanessa L. Williams,ensemble  cast,stars
2,Tracey Edmonds produced Soul Food.,wiki,serious  problems,center  stage,centers
2,Tracey Edmonds produced Soul Food.,wiki,Tillman,typically Hollywood films,based
2,Tracey Edmonds produced Soul Food.,wiki,Showtime,one hour television film,premiered
2,Tracey Edmonds produced Soul Food.,wiki,20th Century Fox,More Soul Tillman,announced
3,Soul Food was produced by Kenneth Edmonds.,wiki,Soul Food,Fox 2000 Fox Pictures,is
3,Soul Food was produced by Kenneth Edmonds.,wiki,Vanessa L. Williams,ensemble  cast,stars
3,Soul Food was produced by Kenneth Edmonds.,wiki,serious  problems,center  stage,centers
3,Soul Food was produced by Kenneth Edmonds.,wiki,Tillman,typically Hollywood films,based
3,Soul Food was produced by Kenneth Edmonds.,wiki,Showtime,one hour television film,premiered
3,Soul Food was produced by Kenneth Edmonds.,wiki,20th Century Fox,More Soul Tillman,announced
4,Soul Food was created in 1997.,wiki,Soul Food,Fox 2000 Fox Pictures,is
4,Soul Food was created in 1997.,wiki,Vanessa L. Williams,ensemble  cast,stars
4,Soul Food was created in 1997.,wiki,serious  problems,center  stage,centers
4,Soul Food was created in 1997.,wiki,Tillman,typically Hollywood films,based
4,Soul Food was created in 1997.,wiki,Showtime,one hour television film,premiered
4,Soul Food was created in 1997.,wiki,20th Century Fox,More Soul Tillman,announced
5,Soul Food was produced by Tracey Edmonds.,wiki,Soul Food,Fox 2000 Fox Pictures,is
5,Soul Food was produced by Tracey Edmonds.,wiki,Vanessa L. Williams,ensemble  cast,stars
5,Soul Food was produced by Tracey Edmonds.,wiki,serious  problems,center  stage,centers
5,Soul Food was produced by Tracey Edmonds.,wiki,Tillman,typically Hollywood films,based
5,Soul Food was produced by Tracey Edmonds.,wiki,Showtime,one hour television film,premiered
5,Soul Food was produced by Tracey Edmonds.,wiki,20th Century Fox,More Soul Tillman,announced
6,There is a capital called Mogadishu.,wiki,locally Muqdisho capital,populous  Somalia,ˌmɔːɡəˈdiːʃuː
6,There is a capital called Mogadishu.,wiki,coastal Indian city,important  millennia,served
