Claim ID,Claim,Source,Node1,Node2,Label
1,Fox 2000 Pictures released the film Soul Food.,response,film,2000  Pictures,fulfill
1,Fox 2000 Pictures released the film Soul Food.,response,Soul Food,American Gary Hardwick,is
1,Fox 2000 Pictures released the film Soul Food.,response,film,Vanessa Williams,stars
1,Fox 2000 Pictures released the film Soul Food.,response,American  who,shared  relationships,follows
1,Fox 2000 Pictures released the film Soul Food.,response,film,Lionsgate Films,released
1,Fox 2000 Pictures released the film Soul Food.,response,Soul Food,film,released
1,Fox 2000 Pictures released the film Soul Food.,response,I,2000 Wikipedia page,fulfill
1,Fox 2000 Pictures released the film Soul Food.,response,Therefore  I,background statement,provide
1,Fox 2000 Pictures released the film Soul Food.,response,other  I,other  questions,be
2,Tracey Edmonds produced Soul Food.,response,I,Soul Wikipedia,'m
2,Tracey Edmonds produced Soul Food.,response,Food,American Geoffrey Fletcher,is
2,Tracey Edmonds produced Soul Food.,response,film,Vanessa Williams,stars
2,Tracey Edmonds produced Soul Food.,response,American  who,shared  relationships,follows
2,Tracey Edmonds produced Soul Food.,response,positive United many,thoughtful  race,released
2,Tracey Edmonds produced Soul Food.,response,else  I,you,let
2,Tracey Edmonds produced Soul Food.,response,Soul that,Tracey producer,is
2,Tracey Edmonds produced Soul Food.,response,you,person,'s
2,Tracey Edmonds produced Soul Food.,response,more  I,you,be
2,Tracey Edmonds produced Soul Food.,response,using,accurate  statement,want
2,Tracey Edmonds produced Soul Food.,response,It,credible  sources,'s
3,Soul Food was produced by Kenneth Edmonds.,response,Soul Food,available Kenneth Wikipedia,provide
3,Soul Food was produced by Kenneth Edmonds.,response,also record him,film,is
3,Soul Food was produced by Kenneth Edmonds.,response,other  I,accurate  Wikipedia,do
3,Soul Food was produced by Kenneth Edmonds.,response,Kenneth Edmonds,also soul food,provide
3,Soul Food was produced by Kenneth Edmonds.,response,record he,culinary soul food,is
3,Soul Food was produced by Kenneth Edmonds.,response,other  that,closely African Americans,is
3,Soul Food was produced by Kenneth Edmonds.,response,It,often family gatherings,characterized
3,Soul Food was produced by Kenneth Edmonds.,response,I,you,let
4,Soul Food was created in 1997.,response,American  that,Southern United slavery,is
4,Soul Food was created in 1997.,response,that,African collard slaves,have
4,Soul Food was created in 1997.,response,term soul food,American  South,used
4,Soul Food was created in 1997.,response,enslaved soul Africans,Southern United States,have
4,Soul Food was created in 1997.,response,soul food,1997,is
4,Soul Food was created in 1997.,response,culinary  that,American Southern United States,is
4,Soul Food was created in 1997.,response,Soul Food,1997,provide
4,Soul Food was created in 1997.,response,term soul food,late Southern United States,indicates
4,Soul Food was created in 1997.,response,enslaved United who,available  Americas,traced
4,Soul Food was created in 1997.,response,cultural Civil Rights expression,widely Civil Rights 1960s,notes
4,Soul Food was created in 1997.,response,date,1997,is
4,Soul Food was created in 1997.,response,soul food,enslaved United States,suggests
5,Soul Food was produced by Tracey Edmonds.,response,Soul Food,Tracey Edmonds,fulfill
5,Soul Food was produced by Tracey Edmonds.,response,she,TV series,is
